index,rank,word,frequency,percentile,distance,probability,distance_probability
261,6639,"estancia",0,3.7754,-2.333223,0.00009932,-7.36412314
262,6638,"hypercapnia",0,3.7899,-2.333223,0.00009932,-7.36412314
263,6637,"neuroendocrine",0,3.8043,-2.333223,0.00009932,-7.36412314
264,6636,"axilla",0,3.8188,-2.333223,0.00009932,-7.36412314
265,6635,"goiter",0,3.8333,-2.333223,0.00009932,-7.36412314
266,6634,"parasitical",0,3.8478,-2.333223,0.00009932,-7.36412314
267,6633,"celiac",0,3.8623,-2.333223,0.00009932,-7.36412314
268,6632,"nonpoor",0,3.8768,-2.333223,0.00009932,-7.36412314
269,6631,"medlar",0,3.8913,-2.333223,0.00009932,-7.36412314
270,6630,"biofilm",0,3.9058,-2.333223,0.00009932,-7.36412314
271,6629,"volute",0,3.9203,-2.244070,0.00010107,-7.36323161
272,6628,"microcode",0,3.9348,-2.244070,0.00010107,-7.36323161
273,6627,"audiologic",0,3.9493,-2.244070,0.00010107,-7.36323161
274,6626,"telemedicine",0,3.9638,-2.244070,0.00010107,-7.36323161
275,6625,"kirtle",0,3.9783,-2.244070,0.00010107,-7.36323161
276,6624,"pietistic",0,3.9928,-2.244070,0.00010107,-7.36323161
277,6623,"stromatolite",0,4.0072,-2.244070,0.00010107,-7.36323161
278,6622,"creamware",0,4.0217,-2.244070,0.00010107,-7.36323161
279,6621,"marquis",0,4.0362,-2.244070,0.00010107,-7.36323161
280,6620,"cleanout",0,4.0507,-2.244070,0.00010107,-7.36323161
281,6619,"commoditization",0,4.0652,-2.244070,0.00010107,-7.36323161
282,6618,"supernumerary",0,4.0797,-2.244070,0.00010107,-7.36323161
283,6617,"paracetamol",0,4.0942,-2.244070,0.00010107,-7.36323161
284,6616,"axonal",0,4.1087,-2.244070,0.00010107,-7.36323161
285,6615,"museology",0,4.1232,-2.244070,0.00010107,-7.36323161
286,6614,"circumscription",0,4.1377,-2.244070,0.00010107,-7.36323161
